strFKPlatform;strProductCategoryNameZH;strProductCategoryNameEN;strProductCategoryNameDE;bolFetchedAutomatically
Taobao;美容護膚; Cosmetic skin care; Kosmetische Hautpflege;True
Taobao;奶粉; Milk powder; Milchpulver;True
Taobao;輔食; Feeding; Fütterung;True
Taobao;營養品; Nutrients; Nährstoffe;True
Kaola;美容彩妆;Beauty makeup;Schönheits-Make-up;True
Kaola;母婴儿童; Mother and child; Mutter und Kind;True
Kaola;营养保健; Nutritional health care; Ernährungsmedizinische Versorgung;True
Kaola;数码家电; Digital home appliances; Digitale Haushaltsgeräte;True
Kaola;个护家清; Personal care family Qing; Körperpflegefamilie Qing;True
Kaola;服饰鞋靴; Clothing shoes and boots; Schuhe und Stiefel für Kleidung;True
Kaola;运动户外; Sports outdoors; Sport im Freien;True
Kaola;手表配饰; Watch accessories; Uhrenzubehör;True
Kaola;轻奢; Light luxury; Leichter Luxus;True
Kaola;家居生活; Home life; Privatleben;True
Kaola;环球美食; Global cuisine; Globale Küche;True
Kaola;宠物生活; Pet life; Leben als Haustier;True
JD.com;手机;Mobile phones;Mobiltelefone;True
JD.com;数码; Digital; Digital;True
JD.com;家用电器; Household appliances; Haushaltsgeräte;True
JD.com;电脑; Computers; Computer;True
JD.com;办公; Office; Büro;True
JD.com;家纺; Home textiles; Heimtextilien;True
JD.com;家居; Home; Zuhause;True
JD.com;厨具; Kitchenware; Küchenutensilien;True
JD.com;家具; Furniture; Möbel;True
JD.com;家装; Home improvement; Heimwerker;True
JD.com;灯具; Lamps and lanterns; Lampen und Laternen;True
JD.com;工业品; Industrial products; Industrieerzeugnisse;True
JD.com;内衣; Underwear; Unterwäsche;True
JD.com;男装; Men's Wear; Herrenbekleidung;True
JD.com;女装; Women's Clothing; Damenbekleidung;True
JD.com;童装; Children's clothing; Kinderkleidung;True
JD.com;箱包; Bags; Taschen;True
JD.com;钟表; Clocks; Uhren;True
JD.com;珠宝; Jewelry; Schmuck;True
JD.com;女鞋; Women's shoes; Damenschuhe;True
JD.com;运动; Movement; Bewegung;True
JD.com;户外; Outdoors; Im Freien;True
JD.com;男鞋; Men's shoes; Herrenschuhe;True
JD.com;汽车用品; Auto supplies; Autozubehör;True
JD.com;车载电器; Vehicle electrical appliances; Elektrische Geräte für Kraftfahrzeuge;True
JD.com;母婴; Mother and baby; Mutter und Baby;True
JD.com;洗护喂养; Wash feeding; Waschfütterung;True
JD.com;玩具乐器; Toy musical instruments; Spielzeug-Musikinstrumente;True
JD.com;宠物生活; Pet life; Haustierleben;True
JD.com;家庭清洁; Home cleaning; Hausreinigung;True
JD.com;个人护理; Personal care; Persönliche Betreuung;True
JD.com;计生情趣; Family planning interest; Interesse an der Familienplanung;True
JD.com;图书; Books; Bücher;True
JD.com;童书; Children's books; Kinderbücher;True
JD.com;文学; literature; Literatur;True
VIP.com;女装/男装/内衣;Women's/Men's/Lingerie;Damen/Herren/Dessous;True
VIP.com;女鞋/男鞋/箱包; Women's shoes / men's shoes / bags; Damenschuhe / Herrenschuhe / Taschen;True
VIP.com;护肤彩妆/个护; Skincare makeup/personal care; Hautpflege Make-up / Körperpflege;True
VIP.com;运动户外; Sports outdoors; Sport im Freien;True
VIP.com;家电数码; Home appliance digital; Haushaltsgerät digital;True
VIP.com;母婴童装; Maternal and infant children's clothing; Kinderbekleidung für Mütter und Kleinkinder;True
VIP.com;手表配饰; Watch accessories; Uhrenzubehör;True
VIP.com;居家用品; Household items; Haushaltsgegenstände;True
VIP.com;唯品生活; Vipshop Life; Vipshop Leben;True
VIP.com;医药健康; Medicine and health; Medizin und Gesundheit;True
Suning;手机;Mobile phones;Mobiltelefone;True
Suning;运营商; Operators; Betreiber;True
Suning;家用电器; Household appliances; Haushaltsgeräte;True
Suning;帮客; Helpers; Helfer;True
Suning;厨卫; Kitchen and bathroom; Küche und Bad;True
Suning;生活家电; Household appliances; Haushaltsgeräte;True
Suning;厨具; Kitchenware; Küchenutensilien;True
Suning;电脑办公; Computer office; Computerbüro;True
Suning;相机; Cameras; Kameras;True
Suning;家具; Furniture; Möbel;True
Suning;家装; Home improvement; Heimwerker;True
Suning;家纺; Home textiles; Heimtextilien;True
Suning;灯具; Lamps and lanterns; Lampen und Laternen;True
Suning;食品; Food; Essen;True
Suning;酒水; Drinks; Getränke;True
Suning;生鲜; Fresh; Frisch;True
Suning;特产; Specialties; Spezialitäten;True
Suning;美妆; Beauty; Schönheit;True
Suning;个护; Personal care; Persönliche Betreuung;True
Suning;清洁; Cleanliness; Sauberkeit;True
Suning;宠物; Pets; Haustiere;True
Suning;母婴; Mother and baby; Mutter und Baby;True
Suning;玩具; Toys; Spielzeug;True
Suning;车床; Lathes; Drehmaschinen;True
Suning;童装; Children's clothing; Kinderkleidung;True
Suning;运动; Movement; Bewegung;True
Suning;户外; Outdoors; Im Freien;True
Suning;国米; Inter; Inter;True
Suning;骑行; Cycling; Radfahren;True
Suning;女装; Women's Clothing; Damenbekleidung;True
Suning;男装; Men's Wear; Herrenbekleidung;True
Suning;内衣; Underwear; Unterwäsche;True
Suning;鞋靴; Shoes and boots; Schuhe und Stiefel;True
Suning;箱包; Bags; Taschen;True
Suning;钟表; Clocks; Uhren;True
Suning;珠宝; Jewelry; Schmuck;True
Suning;艺术; Art; Kunst;True
Suning;汽车; Automotive; Automobilindustrie;True
Suning;电摩; Electric Motorcycle; Elektromotorrad;True
Suning;汽车用品; Auto supplies; Autozubehör;True
Suning;图书; Books; Bücher;True
Suning;艺术; Art; Kunst;True
Suning;原版; Original; Original;True
Suning;文学; Literature; Literatur;True
Suning;医药健康; Medicine and health; Literatur Medizin und Gesundheit;True
Suning;计生情趣; Family planning interest; Interesse an der Familienplanung;True
Suning;理财; Wealth management; Vermögensverwaltung;True
Suning;分期; Staging; Inszenierung;True
Suning;便民; Convenience; Annehmlichkeit;True
