strFKPlatform;strProductCategoryNameZH;strProductCategoryNameEN;strProductCategoryNameDE;bolFetchedAutomatically
JD.com;-;Mobile phone accessories - headset - L3;-;FALSE
JD.com;-;Mobile phone accessories - Tide play around - L3;-;FALSE
JD.com;-;Mobile phone accessories - Mobile phone accessories - L3;-;FALSE
JD.com;-;Mobile phone accessories - Phone battery - L3;-;FALSE
JD.com;-;Mobile phone accessories - Apple around - L3;-;FALSE
JD.com;-;Mobile phone accessories - Power bank - L3;-;FALSE
JD.com;-;Mobile phone accessories - Qi wireless charging - L3;-;FALSE
JD.com;-;Mobile phone accessories - Bluetooth headset - L3;-;FALSE
JD.com;-;Mobile phone accessories - Phone stand - L3;-;FALSE
JD.com;-;Mobile phone accessories - Photo accessories - L3;-;FALSE
JD.com;-;Mobile phone accessories - Mobile phone memory card - L3;-;FALSE
JD.com;-;Mobile phone accessories - Gamepad - L3;-;FALSE
JD.com;-;Mobile phone accessories - Automotive accessories - L3;-;FALSE
JD.com;-;Mobile phones - Photography and videography - L2;-;FALSE
JD.com;-;Photography and videography - Digital cameras - L3;-;FALSE
JD.com;-;Photography and videography - Micro single camera - L3;-;FALSE
JD.com;-;Photography and videography - SLR camera - L3;-;FALSE
JD.com;-;Photography and videography - PolaroidAction cameras - L3;-;FALSE
JD.com;-;Photography and videography - cameralens - L3;-;FALSE
JD.com;-;Photography and videography - Studio equipment - L3;-;FALSE
JD.com;-;Photography and videography - Outdoor equipment - L3;-;FALSE
JD.com;-;Photography and videography - Digital photo frames - L3;-;FALSE
JD.com;-;Mobile phones - Digital accessories - L2;-;FALSE
JD.com;-;Digital accessories - Handheld stabilizer - L3;-;FALSE
JD.com;-;Digital accessories - Memory card - L3;-;FALSE
JD.com;-;Digital accessories - Tripod/gimbal - L3;-;FALSE
JD.com;-;Digital accessories - Camera bag - L3;-;FALSE
JD.com;-;Digital accessories - Filter - L3;-;FALSE
JD.com;-;Digital accessories - Flash/handle - L3;-;FALSE
JD.com;-;Digital accessories - Battery/charger - L3;-;FALSE
JD.com;-;Digital accessories - Fuselage accessories - L3;-;FALSE
JD.com;-;Digital accessories - card reader - L3;-;FALSE
JD.com;-;Digital accessories - Camera cleaning/filming - L3;-;FALSE
JD.com;-;Digital accessories - Lens accessories - L3;-;FALSE
JD.com;-;Digital accessories - Digital stand - L3;-;FALSE
JD.com;-;Mobile phones - Audio-visual entertainment - L2;-;FALSE
JD.com;-;Headphones/headsets - Headphones/headsets - L3;-;FALSE
JD.com;-;Headphones/headsets - Speakers/Speakers - L3;-;FALSE
JD.com;-;Headphones/headsets - Smart Speakers - L3;-;FALSE
JD.com;-;Headphones/headsets - Portable/wireless speakers - L3;-;FALSE
JD.com;-;Headphones/headsets - MP3/MP4 - L3;-;FALSE
JD.com;-;Headphones/headsets - Microphone - L3;-;FALSE
JD.com;-;Headphones/headsets - Professional audio - L3;-;FALSE
JD.com;-;Headphones/headsets - radio - L3;-;FALSE
JD.com;-;Headphones/headsets - Audio cable - L3;-;FALSE
JD.com;-;Headphones/headsets - KTV sound - L3;-;FALSE
JD.com;-;Headphones/headsets - Echo Wall/Soundbar - L3;-;FALSE
JD.com;-;Headphones/headsets - Player/DVD - L3;-;FALSE
JD.com;-;Headphones/headsets - Home theater - L3;-;FALSE
JD.com;-;Headphones/headsets - Power amplifier - L3;-;FALSE
JD.com;-;Mobile phones - Smart device - L2;-;FALSE
JD.com;-;Smart device - Smart bracelet - L3;-;FALSE
JD.com;-;Smart device - Smart watches - L3;-;FALSE
JD.com;-;Smart device - Smart home - L3;-;FALSE
JD.com;-;Smart device - Health monitoring - L3;-;FALSE
JD.com;-;Smart device - Intelligent robot - L3;-;FALSE
JD.com;-;Smart device - VR glasses - L3;-;FALSE
JD.com;-;Smart device - Motion tracker - L3;-;FALSE
JD.com;-;Mobile phones - Smart accessories - L2;-;FALSE
JD.com;-;Smart accessories - Somatosensory - L3;-;FALSE
JD.com;-;Smart accessories - car - L3;-;FALSE
JD.com;-;Smart accessories - Drone accessories - L3;-;FALSE
JD.com;-;Smart accessories - Other accessories - L3;-;FALSE
JD.com;-;Mobile phones - e-Education - L2;-;FALSE
JD.com;-;e-Education - Electric paper book - L3;-;FALSE
JD.com;-;e-Education - Translation machine - L3;-;FALSE
JD.com;-;e-Education - Voice Recorder - L3;-;FALSE
JD.com;-;e-Education - Electronic dictionaries - L3;-;FALSE
JD.com;-;e-Education - Student tablets - L3;-;FALSE
JD.com;-;e-Education - Point reader/pen - L3;-;FALSE
JD.com;-;e-Education - Early education puzzles - L3;-;FALSE
JD.com;-;e-Education - Repeater - L3;-;FALSE
JD.com;-;e-Education - One Plus millet - L3;-;FALSE
